Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Normalized Team,Conference,Division
Philadelphia 76ers,56,26,.683,—,94.7,90.4,3.64,Philadelphia 76ers,Eastern,Atlantic
Miami Heat,50,32,.610,6.0,88.9,86.6,1.73,Miami Heat,Eastern,Atlantic
New York Knicks,48,34,.585,8.0,88.7,86.1,1.98,New York Knicks,Eastern,Atlantic
Orlando Magic,43,39,.524,13.0,97.5,96.5,0.39,Orlando Magic,Eastern,Atlantic
Boston Celtics,36,46,.439,20.0,94.6,96.8,-2.40,Boston Celtics,Eastern,Atlantic
New Jersey Nets,26,56,.317,30.0,92.1,97.1,-5.30,Brooklyn Nets,Eastern,Atlantic
Washington Wizards,19,63,.232,37.0,93.2,99.9,-6.75,Washington Wizards,Eastern,Atlantic
Milwaukee Bucks,52,30,.634,—,100.7,96.9,3.14,Milwaukee Bucks,Eastern,Central
Toronto Raptors,47,35,.573,5.0,97.6,95.4,1.69,Toronto Raptors,Eastern,Central
Charlotte Hornets,46,36,.561,6.0,91.9,89.8,1.45,New Orleans Hornets,Eastern,Central
Indiana Pacers,41,41,.500,11.0,92.6,92.8,-0.77,Indiana Pacers,Eastern,Central
Detroit Pistons,32,50,.390,20.0,95.6,97.3,-2.08,Detroit Pistons,Eastern,Central
Cleveland Cavaliers,30,52,.366,22.0,92.2,96.5,-4.48,Cleveland Cavaliers,Eastern,Central
Atlanta Hawks,25,57,.305,27.0,91.0,96.2,-5.55,Atlanta Hawks,Eastern,Central
Chicago Bulls,15,67,.183,37.0,87.6,96.7,-9.09,Chicago Bulls,Eastern,Central
San Antonio Spurs,58,24,.707,—,96.2,88.4,7.92,San Antonio Spurs,Western,Midwest
Utah Jazz,53,29,.646,5.0,97.1,92.4,5.00,Utah Jazz,Western,Midwest
Dallas Mavericks,53,29,.646,5.0,100.5,96.2,4.61,Dallas Mavericks,Western,Midwest
Minnesota Timberwolves,47,35,.573,11.0,97.3,96.0,1.81,Minnesota Timberwolves,Western,Midwest
Houston Rockets,45,37,.549,13.0,97.2,94.9,2.71,Houston Rockets,Western,Midwest
Denver Nuggets,40,42,.488,18.0,96.6,99.0,-1.83,Denver Nuggets,Western,Midwest
Vancouver Grizzlies,23,59,.280,35.0,91.7,97.5,-4.94,Memphis Grizzlies,Western,Midwest
Los Angeles Lakers,56,26,.683,—,100.6,97.2,3.74,Los Angeles Lakers,Western,Pacific
Sacramento Kings,55,27,.671,1.0,101.7,95.9,6.07,Sacramento Kings,Western,Pacific
Phoenix Suns,51,31,.622,5.0,94.0,91.8,2.63,Phoenix Suns,Western,Pacific
Portland Trail Blazers,50,32,.610,6.0,95.4,91.2,4.52,Portland Trail Blazers,Western,Pacific
Seattle SuperSonics,44,38,.537,12.0,97.3,97.3,0.55,Seattle SuperSonics,Western,Pacific
Los Angeles Clippers,31,51,.378,25.0,92.5,95.3,-2.23,Los Angeles Clippers,Western,Pacific
Golden State Warriors,17,65,.207,39.0,92.5,101.5,-8.11,Golden State Warriors,Western,Pacific
