Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Normalized Team,Conference,Division
Toronto Raptors,59,23,0.72,—,111.7,103.9,7.29,Toronto Raptors,Eastern,Atlantic
Boston Celtics,55,27,0.671,4.0,104.0,100.4,3.23,Boston Celtics,Eastern,Atlantic
Philadelphia 76ers,52,30,0.634,7.0,109.8,105.3,4.3,Philadelphia 76ers,Eastern,Atlantic
Cleveland Cavaliers,50,32,0.61,9.0,110.9,109.9,0.59,Cleveland Cavaliers,Eastern,Central
Indiana Pacers,48,34,0.585,11.0,105.6,104.2,1.18,Indiana Pacers,Eastern,Central
Miami Heat,44,38,0.537,15.0,103.4,102.9,0.15,Miami Heat,Eastern,Southeast
Milwaukee Bucks,44,38,0.537,15.0,106.5,106.8,-0.45,Milwaukee Bucks,Eastern,Central
Washington Wizards,43,39,0.524,16.0,106.6,106.0,0.53,Washington Wizards,Eastern,Southeast
Detroit Pistons,39,43,0.476,20.0,103.8,103.9,-0.26,Detroit Pistons,Eastern,Central
Charlotte Hornets,36,46,0.439,23.0,108.2,108.0,0.07,New Orleans Hornets,Eastern,Southeast
New York Knicks,29,53,0.354,30.0,104.5,108.0,-3.53,New York Knicks,Eastern,Atlantic
Brooklyn Nets,28,54,0.341,31.0,106.6,110.3,-3.67,Brooklyn Nets,Eastern,Atlantic
Chicago Bulls,27,55,0.329,32.0,102.9,110.0,-6.84,Chicago Bulls,Eastern,Central
Orlando Magic,25,57,0.305,34.0,103.4,108.2,-4.92,Orlando Magic,Eastern,Southeast
Atlanta Hawks,24,58,0.293,35.0,103.4,108.8,-5.3,Atlanta Hawks,Eastern,Southeast
Houston Rockets,65,17,0.793,—,112.4,103.9,8.21,Houston Rockets,Western,Southwest
Golden State Warriors,58,24,0.707,7.0,113.5,107.5,5.79,Golden State Warriors,Western,Pacific
Portland Trail Blazers,49,33,0.598,16.0,105.6,103.0,2.6,Portland Trail Blazers,Western,Northwest
Oklahoma City Thunder,48,34,0.585,17.0,107.9,104.4,3.42,Oklahoma City Thunder,Western,Northwest
Utah Jazz,48,34,0.585,17.0,104.1,99.8,4.47,Utah Jazz,Western,Northwest
New Orleans Pelicans,48,34,0.585,17.0,111.7,110.4,1.48,New Orleans Pelicans,Western,Southwest
San Antonio Spurs,47,35,0.573,18.0,102.7,99.8,2.89,San Antonio Spurs,Western,Southwest
Minnesota Timberwolves,47,35,0.573,18.0,109.5,107.3,2.35,Minnesota Timberwolves,Western,Northwest
Denver Nuggets,46,36,0.561,19.0,110.0,108.5,1.57,Denver Nuggets,Western,Northwest
Los Angeles Clippers,42,40,0.512,23.0,109.0,109.0,0.15,Los Angeles Clippers,Western,Pacific
Los Angeles Lakers,35,47,0.427,30.0,108.1,109.6,-1.44,Los Angeles Lakers,Western,Pacific
Sacramento Kings,27,55,0.329,38.0,98.8,105.8,-6.6,Sacramento Kings,Western,Pacific
Dallas Mavericks,24,58,0.293,41.0,102.3,105.4,-2.7,Dallas Mavericks,Western,Southwest
Memphis Grizzlies,22,60,0.268,43.0,99.3,105.5,-5.81,Memphis Grizzlies,Western,Southwest
Phoenix Suns,21,61,0.256,44.0,103.9,113.3,-8.8,Phoenix Suns,Western,Pacific
