Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Normalized Team,Conference,Division
Boston Celtics,63,19,.768,—,114.8,108.1,6.47,Boston Celtics,Eastern,Atlantic
Philadelphia 76ers,58,24,.707,5.0,112.9,108.8,4.17,Philadelphia 76ers,Eastern,Atlantic
New Jersey Nets,42,40,.512,21.0,109.5,109.2,0.64,Brooklyn Nets,Eastern,Atlantic
Washington Bullets,40,42,.488,23.0,105.5,105.8,0.15,Washington Wizards,Eastern,Atlantic
New York Knicks,24,58,.293,39.0,105.2,109.8,-4.09,New York Knicks,Eastern,Atlantic
Milwaukee Bucks,59,23,.720,—,110.9,104.0,6.69,Milwaukee Bucks,Eastern,Central
Detroit Pistons,46,36,.561,13.0,116.0,113.5,2.73,Detroit Pistons,Eastern,Central
Chicago Bulls,38,44,.463,21.0,108.7,109.6,-0.50,Chicago Bulls,Eastern,Central
Cleveland Cavaliers,36,46,.439,23.0,108.6,111.3,-2.27,Cleveland Cavaliers,Eastern,Central
Atlanta Hawks,34,48,.415,25.0,106.6,108.1,-1.14,Atlanta Hawks,Eastern,Central
Indiana Pacers,22,60,.268,37.0,108.3,114.5,-5.46,Indiana Pacers,Eastern,Central
Denver Nuggets,52,30,.634,—,120.0,117.6,2.05,Denver Nuggets,Western,Midwest
Houston Rockets,48,34,.585,4.0,111.2,109.5,1.38,Houston Rockets,Western,Midwest
Dallas Mavericks,44,38,.537,8.0,111.2,109.0,1.80,Dallas Mavericks,Western,Midwest
Utah Jazz,41,41,.500,11.0,109.0,109.1,-0.33,Utah Jazz,Western,Midwest
San Antonio Spurs,41,41,.500,11.0,114.8,113.9,0.63,San Antonio Spurs,Western,Midwest
Kansas City Kings,31,51,.378,21.0,114.8,117.5,-2.71,Sacramento Kings,Western,Midwest
Los Angeles Lakers,62,20,.756,—,118.2,110.9,6.48,Los Angeles Lakers,Western,Pacific
Portland Trail Blazers,42,40,.512,20.0,115.5,112.1,2.80,Portland Trail Blazers,Western,Pacific
Phoenix Suns,36,46,.439,26.0,108.0,110.1,-2.34,Phoenix Suns,Western,Pacific
Seattle SuperSonics,31,51,.378,31.0,102.1,107.6,-5.44,Seattle SuperSonics,Western,Pacific
Los Angeles Clippers,31,51,.378,31.0,107.1,111.6,-4.55,Los Angeles Clippers,Western,Pacific
Golden State Warriors,22,60,.268,40.0,110.4,117.7,-7.21,Golden State Warriors,Western,Pacific
