Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Normalized Team,Conference,Division
Toronto Raptors,47,35,.573,—,99.5,98.5,0.61,Toronto Raptors,Eastern,Atlantic
New Jersey Nets,41,41,.500,6.0,97.6,98.3,-1.00,Brooklyn Nets,Eastern,Atlantic
Philadelphia 76ers,35,47,.427,12.0,94.9,98.0,-3.26,Philadelphia 76ers,Eastern,Atlantic
New York Knicks,33,49,.402,14.0,97.5,100.3,-3.06,New York Knicks,Eastern,Atlantic
Boston Celtics,24,58,.293,23.0,95.8,99.2,-3.70,Boston Celtics,Eastern,Atlantic
Detroit Pistons,53,29,.646,—,96.0,91.8,3.69,Detroit Pistons,Eastern,Central
Cleveland Cavaliers,50,32,.610,3.0,96.8,92.9,3.33,Cleveland Cavaliers,Eastern,Central
Chicago Bulls,49,33,.598,4.0,98.8,93.8,4.52,Chicago Bulls,Eastern,Central
Indiana Pacers,35,47,.427,18.0,95.6,98.0,-2.62,Indiana Pacers,Eastern,Central
Milwaukee Bucks,28,54,.341,25.0,99.7,104.0,-4.43,Milwaukee Bucks,Eastern,Central
Miami Heat,44,38,.537,—,94.6,95.5,-1.21,Miami Heat,Eastern,Southeast
Washington Wizards,41,41,.500,3.0,104.3,104.9,-0.80,Washington Wizards,Eastern,Southeast
Orlando Magic,40,42,.488,4.0,94.8,94.0,0.35,Orlando Magic,Eastern,Southeast
Charlotte Bobcats,33,49,.402,11.0,96.9,100.6,-3.97,Charlotte Hornets,Eastern,Southeast
Atlanta Hawks,30,52,.366,14.0,93.7,98.4,-4.86,Atlanta Hawks,Eastern,Southeast
Utah Jazz,51,31,.622,—,101.5,98.6,3.06,Utah Jazz,Western,Northwest
Denver Nuggets,45,37,.549,6.0,105.4,103.7,1.69,Denver Nuggets,Western,Northwest
Portland Trail Blazers,32,50,.390,19.0,94.1,98.4,-3.78,Portland Trail Blazers,Western,Northwest
Minnesota Timberwolves,32,50,.390,19.0,96.1,99.7,-3.16,Minnesota Timberwolves,Western,Northwest
Seattle SuperSonics,31,51,.378,20.0,99.1,102.0,-2.45,Seattle SuperSonics,Western,Northwest
Phoenix Suns,61,21,.744,—,110.2,102.9,7.28,Phoenix Suns,Western,Pacific
Los Angeles Lakers,42,40,.512,19.0,103.3,103.4,0.24,Los Angeles Lakers,Western,Pacific
Golden State Warriors,42,40,.512,19.0,106.5,106.9,0.00,Golden State Warriors,Western,Pacific
Los Angeles Clippers,40,42,.488,21.0,95.6,96.1,-0.07,Los Angeles Clippers,Western,Pacific
Sacramento Kings,33,49,.402,28.0,101.3,103.1,-1.35,Sacramento Kings,Western,Pacific
Dallas Mavericks,67,15,.817,—,100.0,92.8,7.28,Dallas Mavericks,Western,Southwest
San Antonio Spurs,58,24,.707,9.0,98.5,90.1,8.35,San Antonio Spurs,Western,Southwest
Houston Rockets,52,30,.634,15.0,97.0,92.1,5.04,Houston Rockets,Western,Southwest
New Orleans/Oklahoma City Hornets,39,43,.476,28.0,95.5,97.1,-1.19,New Orleans/Oklahoma City Hornets,Western,Unknown
Memphis Grizzlies,22,60,.268,45.0,101.6,106.7,-4.44,Memphis Grizzlies,Western,Southwest
